step,loss,learning_rate
148,4.2825,2.6438409515296e-05
149,4.2092,2.5781329134389996e-05
150,4.2617,2.5129668804338906e-05
151,4.3236,2.448357436436519e-05
152,4.3434,2.384319040806533e-05
153,4.2585,2.3208660251050158e-05
154,4.3414,2.258012589887154e-05
155,4.196,2.195772801524179e-05
156,4.2702,2.1341605890553896e-05
157,4.228,2.0731897410708616e-05
158,4.3013,2.0128739026256306e-05
